[2026-02-02T04:35:00.218Z] LOGIN_FAILED: Username: student1 | Role: student | IP: ::1 | Reason: Invalid password
[2026-02-02T04:35:05.309Z] LOGIN_FAILED: Username: student | Role: student | IP: ::1 | Reason: User not found
[2026-02-02T04:36:04.435Z] LOGIN_SUCCESS: Username: student1 | Role: student | IP: ::1 | Reason: Successful login
[2026-02-02T04:50:35.960Z] LOGIN_SUCCESS: Username: admin | Role: admin | IP: ::1 | Reason: Successful login
[2026-02-02T05:04:01.019Z] LOGIN_SUCCESS: Username: admin | Role: admin | IP: ::1 | Reason: Successful login
[2026-02-02T05:05:32.803Z] LOGIN_FAILED: Username: teacher1 | Role: student | IP: ::1 | Reason: User not found
[2026-02-02T05:05:40.453Z] LOGIN_SUCCESS: Username: teacher1 | Role: teacher | IP: ::1 | Reason: Successful login
[2026-02-02T05:05:40.502Z] LOGIN_SUCCESS: Username: teacher1 | Role: teacher | IP: ::1 | Reason: Successful login
[2026-02-02T05:32:26.662Z] LOGIN_SUCCESS: Username: student1 | Role: student | IP: ::1 | Reason: Successful login
[2026-02-02T06:00:05.556Z] LOGIN_SUCCESS: Username: admin | Role: admin | IP: ::1 | Reason: Successful login
[2026-02-02T06:00:27.765Z] LOGIN_SUCCESS: Username: teacher1 | Role: teacher | IP: ::1 | Reason: Successful login
[2026-02-02T06:00:58.236Z] LOGIN_SUCCESS: Username: student1 | Role: student | IP: ::1 | Reason: Successful login
[2026-02-02T07:45:54.558Z] LOGIN_SUCCESS: Username: admin | Role: admin | IP: ::1 | Reason: Successful login
[2026-02-02T08:01:07.033Z] LOGIN_FAILED: Username: adminadmin@123 | Role: admin | IP: ::1 | Reason: User not found
[2026-02-02T08:01:11.617Z] LOGIN_SUCCESS: Username: admin | Role: admin | IP: ::1 | Reason: Successful login
[2026-02-02T08:01:32.208Z] LOGIN_FAILED: Username: teacher1 | Role: teacher | IP: ::1 | Reason: Invalid password
[2026-02-02T08:01:38.572Z] LOGIN_FAILED: Username: teacher1 | Role: teacher | IP: ::1 | Reason: Invalid password
[2026-02-02T08:02:58.132Z] LOGIN_SUCCESS: Username: teacher1 | Role: teacher | IP: ::1 | Reason: Successful login
[2026-02-02T08:03:18.474Z] LOGIN_SUCCESS: Username: student1 | Role: student | IP: ::1 | Reason: Successful login
[2026-02-02T08:18:00.057Z] LOGIN_SUCCESS: Username: admin | Role: admin | IP: ::1 | Reason: Successful login
[2026-02-02T08:18:24.757Z] LOGIN_SUCCESS: Username: admin | Role: admin | IP: ::1 | Reason: Successful login
[2026-02-02T08:18:49.121Z] LOGIN_FAILED: Username: student1 | Role: teacher | IP: ::1 | Reason: User not found
[2026-02-02T08:18:53.747Z] LOGIN_FAILED: Username: student1 | Role: teacher | IP: ::1 | Reason: User not found
[2026-02-02T08:19:13.704Z] LOGIN_SUCCESS: Username: teacher1 | Role: teacher | IP: ::1 | Reason: Successful login
[2026-02-02T08:19:28.614Z] LOGIN_SUCCESS: Username: student1 | Role: student | IP: ::1 | Reason: Successful login
[2026-02-02T08:26:14.984Z] LOGIN_SUCCESS: Username: admin | Role: admin | IP: ::1 | Reason: Successful login
[2026-02-03T05:22:14.756Z] LOGIN_SUCCESS: Username: admin | Role: admin | IP: ::1 | Reason: Successful login
[2026-02-03T05:22:58.755Z] LOGIN_SUCCESS: Username: admin | Role: admin | IP: ::1 | Reason: Successful login
[2026-02-03T05:45:00.607Z] LOGIN_SUCCESS: Username: admin | Role: admin | IP: ::1 | Reason: Successful login
[2026-02-03T05:45:56.398Z] LOGIN_SUCCESS: Username: admin | Role: admin | IP: ::1 | Reason: Successful login
[2026-02-03T05:49:16.052Z] LOGIN_SUCCESS: Username: admin | Role: admin | IP: ::1 | Reason: Successful login
[2026-02-03T06:04:00.888Z] LOGIN_SUCCESS: Username: admin | Role: admin | IP: ::1 | Reason: Successful login
[2026-02-03T06:05:22.271Z] LOGIN_SUCCESS: Username: admin | Role: admin | IP: ::1 | Reason: Successful login
[2026-02-03T06:07:59.077Z] LOGIN_SUCCESS: Username: admin | Role: admin | IP: ::1 | Reason: Successful login
[2026-02-03T06:20:15.294Z] LOGIN_SUCCESS: Username: student1 | Role: student | IP: ::1 | Reason: Successful login
[2026-02-03T09:33:12.597Z] LOGIN_SUCCESS: Username: admin | Role: admin | IP: ::1 | Reason: Successful login
[2026-02-03T09:33:44.440Z] LOGIN_SUCCESS: Username: student1 | Role: student | IP: ::1 | Reason: Successful login
[2026-02-04T06:19:01.185Z] LOGIN_SUCCESS: Username: admin | Role: admin | IP: ::1 | Reason: Successful login
[2026-02-04T06:22:08.526Z] LOGIN_SUCCESS: Username: admin | Role: admin | IP: ::1 | Reason: Successful login
[2026-02-04T06:33:23.502Z] LOGIN_SUCCESS: Username: admin | Role: admin | IP: ::1 | Reason: Successful login
[2026-02-04T06:33:59.683Z] LOGIN_SUCCESS: Username: student1 | Role: student | IP: ::1 | Reason: Successful login
[2026-02-04T09:24:19.361Z] LOGIN_FAILED: Username: admin | Role: admin | IP: ::1 | Reason: Invalid password
[2026-02-04T09:24:26.433Z] LOGIN_SUCCESS: Username: admin | Role: admin | IP: ::1 | Reason: Successful login
[2026-02-04T09:46:10.873Z] LOGIN_FAILED: Username: student1 | Role: admin | IP: ::1 | Reason: User not found
[2026-02-04T09:46:22.696Z] LOGIN_SUCCESS: Username: student1 | Role: student | IP: ::1 | Reason: Successful login
[2026-02-04T10:10:53.147Z] LOGIN_SUCCESS: Username: teacher1 | Role: teacher | IP: ::1 | Reason: Successful login
[2026-02-04T10:55:44.500Z] LOGIN_SUCCESS: Username: admin | Role: admin | IP: ::1 | Reason: Successful login
